batch_id,trial_id,model_name,leader_freq_hz,follower_initial_freq_hz,coupling_gain,duration_s,synchronization_success,time_to_synchronization_s,steady_state_mean_abs_timing_error_s,steady_state_rmse_timing_error_s,steady_state_jitter_s,final_frequency_error_hz,convergence_quality,detection_success_rate,false_positive_rate,trial_log_dir
20260609_130146_kuramoto_batch,f1.5Hz_r01,kuramoto,2.0,1.5,3.5,30.0,True,3.5799999999999677,0.08,0.08,0.0,0.002762,1.0,1.0,0.0,experiments\logs\step3a_batch\20260609_130146_kuramoto_batch\trials\20260609_130146_f1.5Hz_r01
20260609_130146_kuramoto_batch,f1.5Hz_r02,kuramoto,2.0,1.5,3.5,30.0,True,3.5799999999999677,0.08,0.08,0.0,0.002762,1.0,1.0,0.0,experiments\logs\step3a_batch\20260609_130146_kuramoto_batch\trials\20260609_130146_f1.5Hz_r02
20260609_130146_kuramoto_batch,f1.5Hz_r03,kuramoto,2.0,1.5,3.5,30.0,True,3.5799999999999677,0.08,0.08,0.0,0.002762,1.0,1.0,0.0,experiments\logs\step3a_batch\20260609_130146_kuramoto_batch\trials\20260609_130146_f1.5Hz_r03
20260609_130146_kuramoto_batch,f1.5Hz_r04,kuramoto,2.0,1.5,3.5,30.0,True,3.5799999999999677,0.08,0.08,0.0,0.002762,1.0,1.0,0.0,experiments\logs\step3a_batch\20260609_130146_kuramoto_batch\trials\20260609_130146_f1.5Hz_r04
20260609_130146_kuramoto_batch,f1.5Hz_r05,kuramoto,2.0,1.5,3.5,30.0,True,3.5799999999999677,0.08,0.08,0.0,0.002762,1.0,1.0,0.0,experiments\logs\step3a_batch\20260609_130146_kuramoto_batch\trials\20260609_130146_f1.5Hz_r05
20260609_130146_kuramoto_batch,f1.8Hz_r01,kuramoto,2.0,1.8,3.5,30.0,True,2.5199999999999902,0.02,0.02,0.0,0.00138,1.0,1.0,0.0,experiments\logs\step3a_batch\20260609_130146_kuramoto_batch\trials\20260609_130146_f1.8Hz_r01
20260609_130146_kuramoto_batch,f1.8Hz_r02,kuramoto,2.0,1.8,3.5,30.0,True,2.5199999999999902,0.02,0.02,0.0,0.00138,1.0,1.0,0.0,experiments\logs\step3a_batch\20260609_130146_kuramoto_batch\trials\20260609_130146_f1.8Hz_r02
20260609_130146_kuramoto_batch,f1.8Hz_r03,kuramoto,2.0,1.8,3.5,30.0,True,2.5199999999999902,0.02,0.02,0.0,0.00138,1.0,1.0,0.0,experiments\logs\step3a_batch\20260609_130146_kuramoto_batch\trials\20260609_130146_f1.8Hz_r03
20260609_130146_kuramoto_batch,f1.8Hz_r04,kuramoto,2.0,1.8,3.5,30.0,True,2.5199999999999902,0.02,0.02,0.0,0.00138,1.0,1.0,0.0,experiments\logs\step3a_batch\20260609_130146_kuramoto_batch\trials\20260609_130146_f1.8Hz_r04
20260609_130146_kuramoto_batch,f1.8Hz_r05,kuramoto,2.0,1.8,3.5,30.0,True,2.5199999999999902,0.02,0.02,0.0,0.00138,1.0,1.0,0.0,experiments\logs\step3a_batch\20260609_130146_kuramoto_batch\trials\20260609_130146_f1.8Hz_r05
20260609_130146_kuramoto_batch,f2.3Hz_r01,kuramoto,2.0,2.3,3.5,30.0,True,2.4499999999999917,0.063333,0.095743,0.071802,0.001355,0.8053,1.0,0.0,experiments\logs\step3a_batch\20260609_130146_kuramoto_batch\trials\20260609_130146_f2.3Hz_r01
20260609_130146_kuramoto_batch,f2.3Hz_r02,kuramoto,2.0,2.3,3.5,30.0,True,2.4499999999999917,0.063333,0.095743,0.071802,0.001355,0.8053,1.0,0.0,experiments\logs\step3a_batch\20260609_130146_kuramoto_batch\trials\20260609_130146_f2.3Hz_r02
20260609_130146_kuramoto_batch,f2.3Hz_r03,kuramoto,2.0,2.3,3.5,30.0,True,2.4499999999999917,0.063333,0.095743,0.071802,0.001355,0.8053,1.0,0.0,experiments\logs\step3a_batch\20260609_130146_kuramoto_batch\trials\20260609_130146_f2.3Hz_r03
20260609_130146_kuramoto_batch,f2.3Hz_r04,kuramoto,2.0,2.3,3.5,30.0,True,2.4499999999999917,0.063333,0.095743,0.071802,0.001355,0.8053,1.0,0.0,experiments\logs\step3a_batch\20260609_130146_kuramoto_batch\trials\20260609_130146_f2.3Hz_r04
20260609_130146_kuramoto_batch,f2.3Hz_r05,kuramoto,2.0,2.3,3.5,30.0,True,2.4499999999999917,0.063333,0.095743,0.071802,0.001355,0.8053,1.0,0.0,experiments\logs\step3a_batch\20260609_130146_kuramoto_batch\trials\20260609_130146_f2.3Hz_r05
