t_s,frequency_hz,phase_rad,fire_count,received_pi_flashes,feedback_enabled,flash_on,raw_flash_on
0.015723,2.0,0.0,0,1,True,False,False
0.202148,2.0,2.486482620722021,0,2,True,False,False
0.420387,2.0,4.974624002365137,0,2,True,False,False
0.622864,2.0,1.1795800768286666,1,2,True,True,True
0.811253,1.998109767471497,3.655524055220532,1,4,True,False,False
1.002117,1.998109767471497,6.141313853976101,1,4,True,False,False
1.216036,1.998109767471497,2.343918345552083,2,4,True,True,False
1.416736,1.994429715553932,4.82759891592377,2,6,True,False,False
1.6199,1.994429715553932,1.0256251627684074,3,6,True,True,True
1.820535,1.994429715553932,3.5068367167926313,3,6,True,False,False
2.024611,1.994429715553932,5.988048270816855,3,7,True,False,False
2.201639,1.9896177226291611,2.1795352585595453,4,8,True,True,False
2.401555,1.9896177226291611,4.654760353221621,4,8,True,False,False
2.616784,1.9896177226291611,0.8468001407041107,5,8,True,True,True
2.820165,1.9837134794151765,3.3087745022735864,5,10,True,False,False
3.001953,1.9837134794151765,5.36534100121365,5,10,True,False,False
3.201932,1.9837134794151765,1.5500354927621407,6,10,True,True,False
3.402113,1.9771535263003344,4.019598982417755,6,12,True,False,False
3.619521,1.9771535263003344,0.6060855541170266,7,12,True,True,True
3.801708,1.9771535263003344,2.6558511818876407,7,12,True,True,False
4.02705,1.9771535263003344,5.525523060766499,7,13,True,False,False
4.212892,1.969900771719608,1.6983633193562262,8,14,True,True,False
4.402093,1.969900771719608,3.7406098309588365,8,14,True,False,False
4.620402,1.969900771719608,0.316569640022907,9,14,True,True,True
4.823323,1.9623172603421548,2.7595027076986467,9,16,True,True,False
5.001925,1.9623172603421548,4.793887199102755,9,16,True,False,False
5.201795,1.9623172603421548,0.9519632816081001,10,16,True,True,True
5.401755,1.95440286537076,3.3784597649935257,10,18,True,False,False
5.622108,1.95440286537076,6.2151109750032,10,18,True,False,False
5.825609,1.95440286537076,2.363340990689048,11,18,True,True,False
6.013906,1.9462554211040974,4.790210913398646,11,20,True,False,False
6.202152,1.9462554211040974,0.5247583780925392,12,20,True,True,True
6.402017,1.9462554211040974,2.946037704340717,12,20,True,False,False
6.601915,1.9462554211040974,5.367317030588893,12,20,True,False,False
6.801837,1.9379537886075422,1.495538851877535,13,22,True,True,True
7.018348,1.9379537886075422,4.308315611879649,13,22,True,False,False
7.202018,1.9379537886075422,0.03425656184443149,14,22,True,True,True
7.401919,1.9295623506278043,2.4302835646253595,14,24,True,True,False
7.614797,1.9295623506278043,5.230880858908961,14,24,True,False,False
7.818257,1.9295623506278043,1.3482075182581759,15,24,True,True,True
8.041007,1.9295623506278043,3.7487194847869785,15,25,True,False,False
8.212736,1.9211322954426941,6.1370897148456445,15,26,True,False,False
8.416731,1.9211322954426941,2.2439287896170566,16,26,True,True,False
8.622692,1.9211322954426941,4.633953171568054,16,26,True,False,False
8.81162,1.9127054052847714,0.7346456364636491,17,28,True,True,True
9.01427,1.9127054052847714,3.1141863713544033,17,28,True,True,False
9.201951,1.9127054052847714,5.097136983763366,17,28,True,False,False
9.420207,1.9043144161384855,1.582844904623223,18,30,True,True,False
9.624626,1.9043144161384855,3.9519466558500813,18,30,True,False,False
9.80174,1.9043144161384855,5.926198115205797,18,30,True,False,False
10.00273,1.9043144161384855,2.012114559253069,19,31,True,True,False
10.218239,1.8959860503288393,4.751679428162389,19,32,True,False,False
10.401869,1.8959860503288393,0.43411135050000094,20,32,True,True,True
10.601779,1.8959860503288393,2.792852025920638,20,32,True,False,False
10.802271,1.8877407580809982,5.144623938484956,20,34,True,False,False
11.001515,1.8877407580809982,1.2099215803032095,21,34,True,True,False
11.202184,1.8877407580809982,3.5584045293010482,21,34,True,False,False
11.423321,1.8795952444223376,0.011969361060011785,22,36,True,True,True
11.611436,1.8795952444223376,1.9605938228878559,22,36,True,True,False
11.814927,1.8795952444223376,4.6886680694468374,22,36,True,False,False
12.019181,1.8795952444223376,0.7438321164606659,23,37,True,True,True
12.221586,1.8715617971189111,3.0695037463724324,23,38,True,True,False
12.401611,1.8715617971189111,5.009799727919899,23,38,True,False,False
12.602095,1.8715617971189111,1.0549695985972725,24,38,True,True,True
12.802417,1.8636062297697962,3.366117459661913,24,40,True,False,False
13.019206,1.8636062297697962,6.070984997632494,24,40,True,False,False
13.222701,1.8636062297697962,2.1062575801419774,25,40,True,True,False
13.401905,1.855744788653527,4.0360743700827015,25,42,True,False,False
13.626301,1.855744788653527,0.44634638097993135,26,42,True,True,True
13.81264,1.855744788653527,2.3702444653205146,26,42,True,True,False
14.015074,1.855744788653527,4.678922166529214,26,43,True,False,False
14.220168,1.8480330883370173,1.0839970751386518,27,44,True,True,True
14.402005,1.8480330883370173,2.9999002425290944,27,44,True,True,False
14.624693,1.8480330883370173,5.682164676875712,27,44,True,False,False
14.812186,1.8404290334125635,1.3130086220504056,28,46,True,True,True
15.002067,1.8404290334125635,3.6026324410560253,28,46,True,False,False
15.201901,1.8404290334125635,5.892256260061645,28,46,True,False,False
15.421618,1.8329845050704698,2.273428066057507,29,48,True,True,False
15.602037,1.8329845050704698,4.1737299822977,29,48,True,False,False
15.826133,1.8329845050704698,0.5509673578543857,30,48,True,True,True
16.015359,1.8329845050704698,2.451269274094578,30,49,True,True,False
16.216303,1.825654382058615,4.709680126960552,30,50,True,False,False
16.401622,1.825654382058615,0.6977379280700323,31,50,True,True,True
16.624728,1.825654382058615,3.3475215544072765,31,50,True,False,False
16.815171,1.8184451038029987,5.232972353126611,31,52,True,False,False
17.001967,1.8184451038029987,1.2120613024563016,32,52,True,True,True
17.201945,1.8184451038029987,3.4743355589655787,32,52,True,False,False
17.425658,1.8113613384653957,6.1121985489131765,32,54,True,False,False
17.601791,1.8113613384653957,1.7068978681270126,33,54,True,True,False
17.80196,1.8113613384653957,3.9603594197991194,33,54,True,False,False
18.003072,1.8113613384653957,6.213820971471226,33,55,True,False,False
18.226281,1.8044493125725714,2.5510347158960194,34,56,True,True,False
18.401696,1.8044493125725714,4.421753468266557,34,56,True,False,False
18.617915,1.8044493125725714,0.38343066393161745,35,56,True,True,True
18.801663,1.7976593322901235,2.6180138101693617,35,58,True,True,False
19.024805,1.7976593322901235,4.854429097553357,35,58,True,False,False
19.201714,1.7976593322901235,0.8076590777577657,36,58,True,True,True
19.416785,1.7910371424661247,3.02717133339334,36,60,True,False,False
19.619877,1.7910371424661247,5.255348148508241,36,60,True,False,False
19.824997,1.7910371424661247,1.2003396564435558,37,60,True,True,False
